step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
155,2,0.544811,0.0,0.544811,0.0,0.0,1e-05,0.174528,4.25,5.0,0.0001438,8e-08
156,2,0.660076,0.0,0.660076,0.0,0.0,1e-05,0.167371,4.28125,5.53125,0.00014462,6e-08
157,2,0.573067,0.0,0.573067,0.0,0.0,1e-05,0.169454,4.875,5.875,0.00014534,8e-08
158,2,0.63407,0.0,0.63407,0.0,0.0,1e-05,0.203175,5.5625,5.3125,0.000146,1.1e-07
159,2,0.608792,0.0,0.608792,0.0,0.0,1e-05,0.163181,4.75,5.125,0.00014686,1e-07
160,2,0.534091,0.0,0.534091,0.0,0.0,1e-05,0.226048,5.25,5.5625,0.00014793,1.3e-07
161,2,0.604325,0.0,0.604325,0.0,0.0,1e-05,0.181646,5.25,5.4375,0.00014895,8e-08
162,2,0.546701,0.0,0.546701,0.0,0.0,1e-05,0.162596,5.3125,5.125,0.00014992,3e-08
163,2,0.621613,0.0,0.621613,0.0,0.0,1e-05,0.17704,5.125,6.40625,0.00015083,1.2e-07
164,2,0.556036,0.0,0.556036,0.0,0.0,1e-05,0.159836,4.75,5.125,0.000152,4e-08
165,2,0.55256,0.0,0.55256,0.0,0.0,1e-05,0.155831,4.4375,4.8125,0.00015312,4e-08
166,2,0.560513,0.0,0.560513,0.0,0.0,1e-05,0.1803,5.0625,5.40625,0.00015417,5e-08
167,2,0.592426,0.0,0.592426,0.0,0.0,1e-05,0.162484,4.75,5.15625,0.00015515,4e-08
168,2,0.543923,0.0,0.543923,0.0,0.0,1e-05,0.14443,4.25,5.375,0.00015619,4e-08
169,2,0.552137,0.0,0.552137,0.0,0.0,1e-05,0.164945,4.25,5.0,0.00015716,7e-08
170,2,0.498091,0.0,0.498091,0.0,0.0,1e-05,0.150949,4.59375,6.1875,0.00015797,5e-08
171,2,0.605639,0.0,0.605639,0.0,0.0,1e-05,0.330812,6.0,5.4375,0.00015881,2.2e-07
172,2,0.567777,0.0,0.567777,0.0,0.0,1e-05,0.193664,4.90625,5.5625,0.00016001,1.1e-07
173,2,0.691322,0.0,0.691322,0.0,0.0,1e-05,0.155006,5.53125,5.46875,0.00016152,8e-08
174,2,0.771919,0.0,0.771919,0.0,0.0,1e-05,0.186769,4.75,5.46875,0.00016275,1.4e-07
175,2,0.563536,0.0,0.563536,0.0,0.0,1e-05,0.16067,3.984375,5.75,0.00016374,9e-08
176,2,0.438116,0.0,0.438116,0.0,0.0,1e-05,0.143993,4.84375,5.28125,0.00016482,2e-08
177,2,0.509774,0.0,0.509774,0.0,0.0,1e-05,0.184186,4.65625,5.28125,0.00016585,9e-08
178,2,0.59211,0.0,0.59211,0.0,0.0,1e-05,0.183141,5.6875,5.6875,0.00016672,1e-07
179,2,0.533396,0.0,0.533396,0.0,0.0,1e-05,0.161821,5.75,6.0,0.00016768,6e-08
180,2,0.705045,0.0,0.705045,0.0,0.0,1e-05,0.331447,5.59375,5.875,0.00016859,2.7e-07
181,2,0.552482,0.0,0.552482,0.0,0.0,1e-05,0.15681,5.03125,5.5625,0.0001704,5e-08
182,2,0.538093,0.0,0.538093,0.0,0.0,1e-05,0.131497,4.53125,4.875,0.00017201,2e-08
183,2,0.487602,0.0,0.487602,0.0,0.0,1e-05,0.64097,5.1875,6.03125,0.0001735,5.1e-07
184,2,0.551551,0.0,0.551551,0.0,0.0,1e-05,0.141278,5.0,5.65625,0.00017511,2e-08
185,2,0.596641,0.0,0.596641,0.0,0.0,1e-05,0.169835,5.4375,5.9375,0.00017663,9e-08
186,2,0.561399,0.0,0.561399,0.0,0.0,1e-05,0.160686,4.03125,5.125,0.00017822,7e-08
187,2,0.714146,0.0,0.714146,0.0,0.0,1e-05,0.166881,4.59375,5.9375,0.00017959,7e-08
188,2,0.532985,0.0,0.532985,0.0,0.0,1e-05,0.182076,5.65625,5.78125,0.00018101,1e-07
189,2,0.554765,0.0,0.554765,0.0,0.0,1e-05,0.14055,5.1875,5.71875,0.00018236,7e-08
190,2,0.557559,0.0,0.557559,0.0,0.0,1e-05,0.155052,4.0625,5.375,0.00018375,7e-08
191,2,0.50175,0.0,0.50175,0.0,0.0,1e-05,0.145758,4.90625,6.1875,0.000185,4e-08
192,2,0.590106,0.0,0.590106,0.0,0.0,1e-05,0.158695,5.5,5.375,0.00018615,6e-08
193,2,0.478465,0.0,0.478465,0.0,0.0,1e-05,0.145631,5.1875,5.875,0.00018722,6e-08
194,2,0.426886,0.0,0.426886,0.0,0.0,1e-05,0.142205,5.1875,5.4375,0.00018819,3e-08
195,2,0.535763,0.0,0.535763,0.0,0.0,1e-05,0.171151,4.71875,5.4375,0.00018909,1e-07
196,2,0.647644,0.0,0.647644,0.0,0.0,1e-05,0.281645,5.5,5.8125,0.00018997,1.4e-07
197,2,0.474776,0.0,0.474776,0.0,0.0,1e-05,0.129403,4.34375,5.0,0.00019093,2e-08
198,2,0.505043,0.0,0.505043,0.0,0.0,1e-05,0.181726,5.03125,5.4375,0.00019182,1.2e-07
199,2,0.508319,0.0,0.508319,0.0,0.0,1e-05,0.191482,4.34375,5.09375,0.00019242,1.4e-07
200,2,0.480629,0.0,0.480629,0.0,0.0,1e-05,0.128767,4.6875,5.1875,0.00019322,2e-08
201,2,0.559687,0.0,0.559687,0.0,0.0,1e-05,0.151726,4.5625,5.46875,0.00019396,7e-08
202,2,0.455399,0.0,0.455399,0.0,0.0,1e-05,0.182524,5.0,5.46875,0.00019457,1.5e-07
203,2,0.575908,0.0,0.575908,0.0,0.0,1e-05,0.214562,4.53125,5.65625,0.00019521,1.9e-07
204,2,0.457557,0.0,0.457557,0.0,0.0,1e-05,0.211457,4.96875,5.28125,0.00019518,1.8e-07
205,2,0.431734,0.0,0.431734,0.0,0.0,1e-05,0.120032,5.625,5.625,0.0001951,1e-08
206,2,0.531712,0.0,0.531712,0.0,0.0,1e-05,0.141764,4.9375,5.625,0.00019503,8e-08
207,2,0.562738,0.0,0.562738,0.0,0.0,1e-05,0.20182,4.78125,6.25,0.00019523,2.3e-07
208,2,0.67742,0.0,0.67742,0.0,0.0,1e-05,0.234996,4.375,5.125,0.00019488,1.4e-07
209,2,0.490823,0.0,0.490823,0.0,0.0,1e-05,0.486073,4.875,5.625,0.00019442,1.04e-06
210,2,0.561277,0.0,0.561277,0.0,0.0,1e-05,0.51163,5.5,5.25,0.00019494,4.2e-07
211,2,0.448584,0.0,0.448584,0.0,0.0,1e-05,0.110308,4.90625,5.6875,0.00019509,1e-08
212,2,0.523993,0.0,0.523993,0.0,0.0,1e-05,0.347662,4.78125,5.96875,0.00019532,3.2e-07
213,2,0.562487,0.0,0.562487,0.0,0.0,1e-05,0.127272,5.0,6.0625,0.00019591,4e-08
214,2,0.576887,0.0,0.576887,0.0,0.0,1e-05,0.233674,4.1875,5.34375,0.00019656,1.6e-07
215,2,0.516367,0.0,0.516367,0.0,0.0,1e-05,0.126443,6.90625,6.4375,0.0001975,6e-08
216,2,0.635507,0.0,0.635507,0.0,0.0,1e-05,0.174678,4.71875,5.125,0.00019831,1.1e-07
217,2,0.536811,0.0,0.536811,0.0,0.0,1e-05,0.153141,4.0,5.625,0.00019935,9e-08
218,2,0.608647,0.0,0.608647,0.0,0.0,1e-05,0.139531,5.25,5.375,0.00020036,9e-08
219,2,0.689855,0.0,0.689855,0.0,0.0,1e-05,0.51282,5.09375,5.65625,0.00020132,4.3e-07
220,2,0.66741,0.0,0.66741,0.0,0.0,1e-05,0.101838,,,,
221,3,0.480939,0.0,0.480939,0.0,0.0,1e-05,0.139407,4.875,4.875,0.00020491,6e-08
222,3,0.546672,0.0,0.546672,0.0,0.0,1e-05,0.121528,4.625,5.375,0.00020653,4e-08
223,3,0.536067,0.0,0.536067,0.0,0.0,1e-05,0.149298,4.25,5.875,0.00020793,7e-08
224,3,0.638887,0.0,0.638887,0.0,0.0,1e-05,0.257857,6.0625,5.34375,0.0002094,1.9e-07
225,3,0.540151,0.0,0.540151,0.0,0.0,1e-05,0.272507,5.0625,5.6875,0.00021081,2.7e-07
