step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
152,2,0.416108,0.0,0.416108,0.0,0.151,3e-05,3.762881,5.46875,5.6875,0.00034163,6e-08
153,2,0.388711,0.0,0.388711,0.0,0.152,3e-05,0.313958,5.15625,5.53125,0.00034252,5e-08
154,2,0.358756,0.0,0.358756,0.0,0.153,3e-05,0.27134,4.78125,5.5625,0.00034331,4e-08
155,2,0.442172,0.0,0.442172,0.0,0.154,3e-05,0.327019,4.96875,5.3125,0.00034428,4e-08
156,2,0.319642,0.0,0.319642,0.0,0.155,3e-05,0.349533,4.65625,5.0625,0.00034512,5e-08
157,2,0.332211,0.0,0.332211,0.0,0.156,3e-05,0.229065,5.34375,6.0,0.00034602,2e-08
158,2,0.349692,0.0,0.349692,0.0,0.157,3e-05,0.24328,5.125,5.46875,0.00034673,3e-08
159,2,0.394481,0.0,0.394481,0.0,0.158,3e-05,0.367406,5.65625,5.84375,0.00034757,4e-08
160,2,0.403382,0.0,0.403382,0.0,0.159,3e-05,0.115465,4.40625,5.15625,0.0003483,1e-08
161,2,0.411038,0.0,0.411038,0.0,0.16,3e-05,0.190466,5.40625,5.625,0.00034904,2e-08
162,2,0.44285,0.0,0.44285,0.0,0.161,3e-05,0.086569,4.5625,5.125,0.0003497,1e-08
163,2,0.405782,0.0,0.405782,0.0,0.162,3e-05,0.173556,4.84375,5.8125,0.00035033,2e-08
164,2,0.433891,0.0,0.433891,0.0,0.163,3e-05,0.127027,4.84375,5.5,0.00035099,1e-08
165,2,0.538384,0.0,0.538384,0.0,0.164,3e-05,0.090526,4.875,5.6875,0.00035168,1e-08
166,2,0.402336,0.0,0.402336,0.0,0.165,3e-05,0.085193,2.515625,5.78125,0.00035233,2e-08
167,2,0.403043,0.0,0.403043,0.0,0.166,3e-05,0.284278,5.65625,5.75,0.00035308,3e-08
